"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 04 23:15:14 IST 2022","Fri Nov 04 23:15:32 IST 2022","17727","","Verify login functionality","","","","TC 01",""
"passed","Fri Nov 04 23:21:15 IST 2022","Fri Nov 04 23:21:15 IST 2022","806","","transverse mwthod in cypress","","","","To get a DOM element at a specific index, use the .eq() command.",""
"failed","Fri Nov 04 23:14:40 IST 2022","Fri Nov 04 23:14:57 IST 2022","16749","","Verify amazon","","","","TC 03",""
"passed","Fri Nov 04 23:14:24 IST 2022","Fri Nov 04 23:14:26 IST 2022","2370","","verify the complete login page","","","","get correct message if incorrect email entered",""
"passed","Fri Nov 04 23:12:37 IST 2022","Fri Nov 04 23:12:40 IST 2022","2946","","Verify Kitchen API","","","","Verify GET API",""
"passed","Fri Nov 04 23:21:18 IST 2022","Fri Nov 04 23:21:19 IST 2022","868","","transverse mwthod in cypress","","","","To get all of the next sibling DOM elements within elements until another element, use the .nextUntil() command.",""
"passed","Fri Nov 04 23:17:37 IST 2022","Fri Nov 04 23:17:39 IST 2022","2607","","Verify local storage and cookies","","","","Verify the cookies with window command",""
"passed","Fri Nov 04 23:12:14 IST 2022","Fri Nov 04 23:12:14 IST 2022","638","","Verify create, update and delete request in sigle code","","","","POST > PUT > DELETE",""
"passed","Fri Nov 04 23:21:16 IST 2022","Fri Nov 04 23:21:17 IST 2022","854","","transverse mwthod in cypress","","","","to get the previous sibling DOM element within elements, use the .prev() command.",""
"passed","Fri Nov 04 23:09:02 IST 2022","Fri Nov 04 23:09:03 IST 2022","506","","example to-do app","","","","can check off an item as completed",""
"passed","Fri Nov 04 23:09:31 IST 2022","Fri Nov 04 23:09:31 IST 2022","542","","verify the API with cypress","","","","Verify POST API",""
"passed","Fri Nov 04 23:10:48 IST 2022","Fri Nov 04 23:11:04 IST 2022","16833","","verify the login page","","","","verify if incorrect credentials",""
"passed","Fri Nov 04 23:08:59 IST 2022","Fri Nov 04 23:09:01 IST 2022","2929","","example to-do app","","","","displays two todo items by default",""
"passed","Fri Nov 04 23:21:17 IST 2022","Fri Nov 04 23:21:18 IST 2022","819","","transverse mwthod in cypress","","","","To get all sibling DOM elements of elements, use the .siblings() command.",""
"passed","Fri Nov 04 23:09:44 IST 2022","Fri Nov 04 23:09:45 IST 2022","1167","","Verify the GET, POST, PUT API","","","","Verify the PUT API",""
"passed","Fri Nov 04 23:11:37 IST 2022","Fri Nov 04 23:12:02 IST 2022","24252","","Bank site Login Testing","","","","to verify customer id",""
"passed","Fri Nov 04 23:21:26 IST 2022","Fri Nov 04 23:21:27 IST 2022","737","","transverse mwthod in cypress","","","","To get parents DOM element of elements until other element, use the .parentsUntil() command.",""
"passed","Fri Nov 04 23:09:31 IST 2022","Fri Nov 04 23:09:32 IST 2022","564","","verify the API with cypress","","","","Verify PUT API",""
"passed","Fri Nov 04 23:19:54 IST 2022","Fri Nov 04 23:19:55 IST 2022","1581","","Verify POST, PUT, DELETE with singlr code","","","","Verify POST",""
"passed","Fri Nov 04 23:09:03 IST 2022","Fri Nov 04 23:09:04 IST 2022","671","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Fri Nov 04 23:21:25 IST 2022","Fri Nov 04 23:21:26 IST 2022","797","","transverse mwthod in cypress","","","","To get parents DOM element of elements, use the .parents() command.",""
"passed","Fri Nov 04 23:09:54 IST 2022","Fri Nov 04 23:10:00 IST 2022","5518","","Verify Calender","","","","Verify date",""
"failed","Fri Nov 04 23:11:23 IST 2022","Fri Nov 04 23:11:27 IST 2022","3527","","File upload in cypress","","","","upload file",""
"passed","Fri Nov 04 23:16:54 IST 2022","Fri Nov 04 23:17:14 IST 2022","20178","","Verify flipkart page","","","","TC 01",""
"passed","Fri Nov 04 23:15:32 IST 2022","Fri Nov 04 23:15:37 IST 2022","5327","","Verify login functionality","","","","TC 02",""
"passed","Fri Nov 04 23:09:30 IST 2022","Fri Nov 04 23:09:31 IST 2022","359","","verify the API with cypress","","","","verify GET API",""
"passed","Fri Nov 04 23:19:43 IST 2022","Fri Nov 04 23:19:46 IST 2022","3020","","Verify the Check box and radio box","","","","verify the radiobox",""
